time_1,sb_1,pb_1,wb_1,time_2,sb_2,pb_2,wb_2,time_3,sb_3,pb_3,wb_3,time_4,sb_4,pb_4,wb_4,time_5,sb_5,pb_5,wb_5,time_6,sb_6,pb_6,wb_6,time_7,sb_7,pb_7,wb_7,time_8,sb_8,pb_8,wb_8,time_9,sb_9,pb_9,wb_9,time_10,sb_10,pb_10,wb_10
0.0001,-1.3176228039313e-05,29060.5118452195,-0.20649999794529,0.0001,2.78392855921437e-06,59332.9442761137,-0.163955340540266,0.0001,3.39716713876222e-06,60496.2868488236,-0.162321172109845,0.0001,-2.39740148061483e-05,8583.46132832611,-0.23529388063327,0.0001,4.84589482762743e-05,146128.461171121,-0.0427394919188898,0.0001,1.6048014572071e-06,57096.1305791388,-0.167097633527964,0.0001,2.21288831350537e-05,96042.6099276871,-0.112438750413725,0.0001,2.64905614837108e-05,104324.491099148,-0.100838904528638,0.0001,7.58520956413671e-05,194973.579135735,0.0551639416480546,0.0001,4.82009161347055e-05,145635.451589154,-0.0434137785283422
0.00011,-1.53154670606118e-05,29060.5118452195,-0.221125534117821,0.00011,1.08554297966604e-06,59332.9442761137,-0.175545369463159,0.00011,1.71571563051184e-06,60496.2868488236,-0.173794485775721,0.00011,-2.64116079514649e-05,8583.46132832611,-0.251971442018406,0.00011,4.80171803904257e-05,146128.461171121,-0.0455687204053649,0.00011,-1.26145982764043e-07,57096.1305791388,-0.178912060289603,0.00011,2.09643761909356e-05,96042.6099276871,-0.120341807930757,0.00011,2.54462834265263e-05,104324.491099148,-0.107908401137566,0.00011,7.64271974640269e-05,194973.579135735,0.0598349089357186,0.00011,4.77521479977591e-05,145635.451589154,-0.0462937489469345
0.00012,-1.75942109011866e-05,29060.5118452195,-0.234392981048286,0.00012,-7.23385481251713e-07,59332.9442761137,-0.186057597580242,0.00012,-7.51651303084956e-08,60496.2868488236,-0.18420076730262,0.00012,-2.90082835561754e-05,8583.46132832611,-0.267101269105994,0.00012,4.75484966498982e-05,146128.461171121,-0.0481211660306517,0.00012,-1.96977736644847e-06,57096.1305791388,-0.189627980164518,0.00012,1.9724507966416e-05,96042.6099276871,-0.12750670795542,0.00012,2.43345992355567e-05,104324.491099148,-0.11431629036134,0.00012,7.70483604653959e-05,194973.579135735,0.0643758746007505,0.00012,4.72759789338502e-05,145635.451589154,-0.0488924384949548
0.00013,-1.99986521417749e-05,29060.5118452195,-0.246258326020562,0.00013,-2.6318994700692e-06,59332.9442761137,-0.195457181400366,0.00013,-1.96462729190876e-06,60496.2868488236,-0.193505525939697,0.00013,-3.17483058731257e-05,8583.46132832611,-0.280633154378177,0.00013,4.70557071936016e-05,146128.461171121,-0.0503886268500616,0.00013,-3.9149247902348e-06,57096.1305791388,-0.199209871526452,0.00013,1.84167819905962e-05,96042.6099276871,-0.133909761487299,0.00013,2.31622339387084e-05,104324.491099148,-0.120041410212596,0.00013,7.77142757845443e-05,194973.579135735,0.068785093582739,0.00013,4.6775264875446e-05,145635.451589154,-0.0512014869832644
0.00014,-2.25145821490729e-05,29060.5118452195,-0.256685350937601,0.00014,-4.62872407145916e-06,59332.9442761137,-0.20371546149616,0.00014,-3.9415086590972e-06,60496.2868488236,-0.201680393112428,0.00014,-3.46154814321034e-05,8583.46132832611,-0.292525774449211,0.00014,4.65416963488569e-05,146128.461171121,-0.0523644695065484,0.00014,-5.95009660133683e-06,57096.1305791388,-0.20762851580809,0.00014,1.70489175567639e-05,96042.6099276871,-0.139531511028197,0.00014,2.19361052561767e-05,104324.491099148,-0.125066389847709,0.00014,7.84236178252557e-05,194973.579135735,0.0730609637619916,0.00014,4.62529373927846e-05,145635.451589154,-0.0532141294004434
0.00015,-2.51274693139631e-05,29060.5118452195,-0.265645683961361,0.00015,-6.70232887867246e-06,59332.9442761137,-0.210810003095712,0.00015,-5.9943941424398e-06,60496.2868488236,-0.208703162587726,0.00015,-3.75932482150975e-05,8583.46132832611,-0.302746749138969,0.00015,4.60094068917044e-05,146128.461171121,-0.0540436383062044,0.00015,-8.06354066279639e-06,57096.1305791388,-0.214861038912407,0.00015,1.56288072539926e-05,96042.6099276871,-0.144356757587426,0.00015,2.06632855531508e-05,104324.491099148,-0.129377673450794,0.00015,7.91750456812168e-05,194973.579135735,0.0772020250703035,0.00015,4.57119876887758e-05,145635.451589154,-0.0549252049122864
0.00016,-2.78225376039232e-05,29060.5118452195,-0.273118810796257,0.00016,-8.8409903094956e-06,59332.9442761137,-0.216724604664635,0.00016,-8.11167745028298e-06,60496.2868488236,-0.214557798950224,0.00016,-4.06647651917861e-05,8583.46132832611,-0.311272654544343,0.00016,4.54618242642889e-05,146128.461171121,-0.0554226549626805,0.00016,-1.02433078691141e-05,57096.1305791388,-0.220890919997637,0.00016,1.41644743383581e-05,96042.6099276871,-0.148374565800993,0.00016,1.93509636519036e-05,104324.491099148,-0.132965524516011,0.00016,7.9967204551213e-05,194973.579135735,0.0812069584027125,0.00016,4.5155450551388e-05,145635.451589154,-0.0563311565728706
0.00017,-3.05848450289895e-05,29060.5118452195,-0.279092046235787,0.00017,-1.10328538499728e-05,59332.9442761137,-0.221449274971857,0.00017,-1.02816227090676e-05,60496.2868488236,-0.219234414878214,0.00017,-4.38130017585754e-05,8583.46132832611,-0.31808899081381,0.00017,4.49019608372236e-05,146128.461171121,-0.0564996099576939,0.00017,-1.24773155886275e-05,57096.1305791388,-0.225707968138485,0.00017,1.26640301610157e-05,96042.6099276871,-0.151578247505777,0.00017,1.80064066978267e-05,104324.491099148,-0.135824010835162,0.00017,8.07987271427813e-05,194973.579135735,0.08507458440284,0.00017,4.45863883516171e-05,145635.451589154,-0.0574300225874364
0.00018,-3.33993616277963e-05,29060.5118452195,-0.283560466781569,0.00018,-1.32659959138253e-05,59332.9442761137,-0.224980179282806,0.00018,-1.24924257029956e-05,60496.2868488236,-0.222729217856574,0.00018,-4.70208266326514e-05,8583.46132832611,-0.323190105546611,0.00018,4.43328402982582e-05,146128.461171121,-0.0572741459795011,0.00018,-1.47534107145533e-05,57096.1305791388,-0.229308267519511,0.00018,1.11356318664541e-05,96042.6099276871,-0.153965324212492,0.00018,1.66369222704382e-05,104324.491099148,-0.137950970589555,0.00018,8.16682350631753e-05,194973.579135735,0.0888038621419063,0.00018,4.40078751692342e-05,145635.451589154,-0.0582214195499101
0.00019,-3.6251046589226e-05,29060.5118452195,-0.286526805326426,0.00019,-1.55284850126658e-05,59332.9442761137,-0.227319555468288,0.00019,-1.47322744312047e-05,60496.2868488236,-0.225044427107164,0.00019,-5.02710957627678e-05,8583.46132832611,-0.326579073945862,0.00019,4.37574822448217e-05,146128.461171121,-0.0577474337581466,0.00019,-1.70594320139115e-05,57096.1305791388,-0.231694091963968,0.00019,9.5874405693041e-06,96042.6099276871,-0.155537469019987,0.00019,1.52498209259556e-05,104324.491099148,-0.139347960033511,0.00019,8.25743401966225e-05,194973.579135735,0.0923938876986748,0.00019,4.34229811249961e-05,145635.451589154,-0.0587065179605445
0.0002,-3.91249241359982e-05,29060.5118452195,-0.288001309067433,0.0002,-1.78084419406843e-05,59332.9442761137,-0.228475600955544,0.0002,-1.69894086891015e-05,60496.2868488236,-0.226188161653981,0.0002,-5.35467388307879e-05,8583.46132832611,-0.328267537053675,0.0002,4.31788870550259e-05,146128.461171121,-0.0579221405864319,0.0002,-1.93832714722919e-05,57096.1305791388,-0.232873789742252,0.0002,8.0275802121829e-06,96042.6099276871,-0.156300428607846,0.0002,1.38523793527264e-05,104324.491099148,-0.140020183341381,0.0002,8.35156460669012e-05,194973.579135735,0.0958438926443571,0.0002,4.28347569950899e-05,145635.451589154,-0.0588880103095517
