time_1,u1_1,u2_1,pb_1,sb_1,wb_1,time_2,u1_2,u2_2,pb_2,sb_2,wb_2,time_3,u1_3,u2_3,pb_3,sb_3,wb_3,time_4,u1_4,u2_4,pb_4,sb_4,wb_4,time_5,u1_5,u2_5,pb_5,sb_5,wb_5
0,188.003201240136,25.5154010541457,225153.532481692,0.000308394614240603,0,0,133.282542673422,188.003201240136,235854.163731505,0.000357044191137842,0,0,196.734363634233,143.479465127081,207715.121204086,0.000229112251302405,0,0,153.059056770402,41.9306285945964,168278.25078502,4.98156270894843e-05,0,0,21.2048412371864,119.649338499753,199092.904940378,0.000189912024385584,0
1e-05,187.956208789124,25.5154010541457,225546.79643238,0.000308394614240603,0,1e-05,133.282542673422,187.956208789124,236457.724912415,0.000357044191137842,0,1e-05,196.734363634233,143.479465127081,208867.000372222,0.000229112251302405,0,1e-05,153.054379382525,41.9930608096778,168949.474373846,4.98237821530909e-05,0.00157299360043783,1e-05,21.2072437747006,119.649338499753,199092.891928422,0.000189912024385584,0
2e-05,187.909216338113,25.5154010541457,225936.719717557,0.000308394614240603,0,2e-05,133.282542673422,187.909216338113,237060.247968218,0.000357044191137842,0,2e-05,196.734363634233,143.479465127081,210015.452113705,0.000229112251302405,0,2e-05,153.049701994648,42.0554930247593,169615.261833197,4.98461683534772e-05,0.00286912058715603,2e-05,21.2096463122149,119.649338499753,199092.87891647,0.000189912024385584,0
3e-05,187.862223887101,25.5154010541457,226323.32215041,0.000308394614240603,0,3e-05,133.282542673422,187.862223887101,237661.719117283,0.000357044191137842,0,3e-05,196.734363634233,143.479465127081,211159.257618812,0.000229114839948118,0.000742530861247219,3e-05,153.045024606771,42.1179252398407,170275.979914962,4.98806361540445e-05,0.00400543328773603,3e-05,21.2120488497292,119.649338499753,199092.86590452,0.000189912024385584,0
4e-05,187.81523143609,25.5154010541457,226706.623556946,0.000308394614240603,0,4e-05,133.282542673422,187.81523143609,238262.124542671,0.000357044191137842,0,4e-05,196.734363634233,143.479465127081,212296.838469483,0.000229127684821797,0.00183213632623439,4e-05,153.040347218894,42.1803574549222,170931.823097263,4.99260128224051e-05,0.00506162391214343,4e-05,21.2144513872435,119.649338499753,199092.852892573,0.000189912024385584,0
5e-05,187.768238985078,25.5154010541457,227086.643773868,0.000308394614240603,0,5e-05,133.282542673422,187.768238985078,238861.074225626,0.000357046019918883,0.000600205667401447,5e-05,196.734363634233,143.479465127081,213427.972760882,0.000229151614179177,0.00296165829347341,5e-05,153.035669831017,42.2427896700037,171582.869375478,4.99817814371784e-05,0.00609113303305068,5e-05,21.2168539247577,119.649338499753,199092.839880629,0.000189912024385584,0
6e-05,187.721246534067,25.5154010541457,227463.376892143,0.000308394614240603,0,6e-05,133.282542673422,187.721246534067,239457.127702234,0.000357056592881415,0.00149609237742403,6e-05,196.734363634233,143.479465127081,214552.504853058,0.000229187114797396,0.00415053447937827,6e-05,153.03099244314,42.3052218850851,172229.116736858,5.00478718462412e-05,0.00713123681147468,6e-05,21.219256462272,119.649338499753,199092.826868688,0.000189912024385584,0
7e-05,187.674254083055,25.5154010541457,227836.683779322,0.000308394666226446,0.000103536868353253,7e-05,133.282542673422,187.674254083055,240050.314806231,0.000357075656843433,0.0023060392120561,7e-05,196.734363634233,143.479465127081,215670.229061141,0.000229234918716849,0.00542779097819873,7e-05,153.026315055263,42.3676541001666,172870.521685303,5.01245338689958e-05,0.00820945063722974,7e-05,21.2216589997863,119.649338499753,199092.81385675,0.000189912024385584,0
8e-05,187.627261632044,25.5154010541457,228205.421745834,0.000308400426489947,0.00101351371095149,8e-05,133.282542673422,187.627261632044,240640.748399808,0.000357102559832513,0.00306948660692434,8e-05,196.734363634233,143.479465127081,216780.872345207,0.000229296084323826,0.00682932686807922,8e-05,153.021637667386,42.430086315248,173507.420470548,5.02122597112332e-05,0.00934718536591317,8e-05,21.2240615373006,119.649338499753,199092.800844815,0.000189912024385584,0
9e-05,187.580269181032,25.5154010541457,228569.122712405,0.000308414366990504,0.00175176618977917,9e-05,133.282542673422,187.580269181032,241228.472170559,0.00035713698889199,0.00381539818924579,9e-05,196.734363634233,143.479465127081,217884.081123487,0.000229372055372609,0.00839598691746839,9e-05,153.016960279509,42.4925185303295,174139.862365937,5.03117335730436e-05,0.010561597427372,9e-05,21.2264640748148,119.649338499753,199092.787832882,0.000189912024385584,0
